,title
0,jproperties library installation issue 
1,Union with Null
2,Spark ReadStream fails to infer schema
3,Unable to execute Notebook commands
4,"ARR Customer CVS: Issue - Unable to grant read/list permission to Databricks service principal to KeyVault, Key Not Found"
5,Create Delta Table Statements Fail Intermittently
6,Databricks Cluster creation time increased post fail over from west to east 
7,Disable delta feature
8,"Commands getting cancelled, spark mssqlconnector failing"
9,How to export Hive metastore 
10,Metadata perfomance issue
11,Continuation of  00143942  | The Databricks job fails frequently - 2204250010002866
12,Hitting rate limit of 100 nodes per minute.
13,SQL Analytics Issue
14,Sev A ARR Adobe CSO - Critical Support Ticket - Jobs Failing with no Changes - Sev 1
15,Jobs failing with 'File already exists'
16,CASE NUMBER # 00142833 | 2203310040008004 - CosmosDBSpark failure on large files
17,Upsert failing against destination table in Unity catalog
18,Databricks Attempts to Create Clusters in AZ's without support for requested nodes.
19,Databricks job ran for hours without any progress
20,Facing import issue in job
21,QA-UAT Users status is inactive
22, Model failing in existing workspace
23,Failed Databricks notebooks
24,2205310030000660 | ARR | Decimal Data type scale being limited to 2 in SQL Endpoint UI
25,Root bucket error in log4j
26,gar for 2205160050001134 
27,Databricks environment highly unstable
28,Command stucks when submitted
29,2205310030000871
30,Databricks jobs failed due to AccessDeniedException
31,connect to databricks using the ODBC driver
32,ARR - Not being able to open folder structures from storage
33,Missing tables
34,databricks-connect with token is deprecated
35,2205250050002151 problem installing libraries on 7.3 LTS
36,Intermittent metadata connectivity issue
37,File cannot inherit from folder when create table
38,Not able to connect to ADLS with External HMS
39,Update to 10.4 LTS
40,Intermittent Access denied while write to Amazon S3 write encrypted storage 
41,Job is stuck
42,PowerBi Failing To Connect To Databricks Table and Fetch Data
43,JDBC query connection issue
44, R Notebook fails sometimes; fails only at specific time every day
45,MLflow protobuf Python version problem
46,クロスアクセスアカウントIAMロールに付与するポリシーに関する質問
47,Logs delivery just before application shutdown
48,Not able to Write to Container using Pyspark.write method
49,CSS-ARR-S500-SR#2205270040003393-ADLS2 access issue
50,2205180030000254 
51,2205300040003430-Notebook getting failed
52,The execution of this command did not finish successfully
53,Can we have a chance to know which VM type has which kind of disk's tyoe?
54,On some occasions the count file is having more numbers than the data file
55,job failed to retry
56,2205300030001614 
57,Follow up of 00142853
58,Two runs and one one just took 2 mins and others took 4h
59,ARR | AirCanada | We need explanation why init script or job dependent libraries are recommended for ModuleNotFound error
60,unable to perform jdbc connection to synpase using aad authentication- Saved
61,[ARR] [Sev C] SR-2110140040008211-intermittent access to the databricks
62,ARR Air Canada - Jobs randomly failing with module not found. 
63,Eventhub Streaming to databricks delta table stopped due to offset mismatched
64,Connectivity Issue to Synapse - From Databricks using JDBC 
65,The Spark UI link not acccessible
66,High Concurrency Cluster in Prod did not Terminate for 2 weeks
67,VNET injected workspace is slow
68,Intermittent Library Installation Issue
69,Job stuck in running state
70,ossuleimtestworkspace-IP access List
71,NFS/EFS Volume Mounting
72,Follow up of (00146728)Databricks - Cluster Upgrade with gdal
73,gar request for 2205200050001297 
74,ARR | SevA | 2205300040003430 | Databricks jobs are failing after DBR upgrade in PROD
75,Notebook commands get hung on spark.read; Spark Job gets initiated but commands get stuck indefinitely.
76,Databricks deployment failure using automation.
77,Databricks views are being recreated with all column names in lowercase.
78,2205260030000884 | ARR | Error sending to Log Analytics from Databricks workspace
79,Recover the deleted notebooks that are not committed from repos
80,Gapply Collect (executor issues) 
81,2205240040004222 | ARR | Jobs are running slow than the previous runs
82,監査ログの構成に利用するS3バケットの設定について
83,UnityCatalogマネージドテーブルに利用するS3の設定について
84,Follow-up case for - 00144864
85,e-mail notifications when jobs are skipped
86, Error in SQL statement: SparkException
87,Error on MetaStore when using uploaded JAR for DB connection with AWS PrivateLink
88,[SR: 2205270060000149] Consistency of Delta Lake table when copying data to another location
89,CSS-ARR-S500-SR#2205300030000938-Registering the model using adls gen2 path
90,CSS-ARR-2205300030000871-Need to get the cluster log details for the given databricks workspace
91,Enable dbutils.secrets.get on databricks-prod workspace
92,DBInsight 2205270040003899 
93,how to execute SQL file (Databricks detla tables quires ) using sql enpoint in commandline (CICD purpose).
94,Pipelines are failing with an error
95,CSS-ARR-2205270010000557-pairwise partial correlation in ML model is taking more than expected time
96,Not able to manage cluster in premium tier with Owner permission.
97,ARR | Citrix | Need help change the cluster owner | SR:2205250060000952
98,Not able to connect to ADLS with External HMS
99,A piece of code in one of the notebooks has been behaving erratically
100,Contact Details for Contingency Plan  Documentation
101,Please help to enable the Unity Catalog for customer
102, Unable to access AzureDatabricks workspace
103,Unable to access AzureDatabricks workspace
104,Cluster Terminating
105,Unable to access AzureDatabricks workspace
106,Notebook Execution taking to much time. Need performance tuning
107,Job email notification alert not sending to specific email address
108,recover deleted azure databricksm
109,Not able to Write to Container using Pyspark.write method
110,[ARR][2205190040006377 ][Procter and Gamble]the spark driver has stopped unexpectedly and is restarting. your notebook will be automatically reattached.
111,7763010224164137 - b8080fe8-25bc-47b2-85e7-fd02dd3aee1e - 2205280040000814
112,Databricks Merge Statement is creating duplicate rows
113,8917076304931352 - 09c14ab4-bb01-40d1-9eaa-c49fefd07fb1 - 2205280040000550
114,2205280040000232
115,Is there any connector available for writing  to dynamodb from databricks pyspark/scala spark ? 
116,connection issue with powerbi  ssl read
117,[ARR][Mars Inc][2205170040006218 ]Issue with cluster resizing & autoscaling
118,Azure ADF pipelines are running longer than expected
119,2650234915343663 - c450f3d1-583c-495f-b5d3-0b38b99e70c0 - 2205270040006933
120,Unable to access Jobs API 2.1 - 401 Access Denied
121,"UI of the ""Tables"" tab is not refreshing when navigate the ""Data"" explorer"
122,GE FDL: Production DBR jobs failing
123,ALTER TABLE statement failing with configurationInvalid fs.azure.account.key
124,Update IP access list
125,cannot get debug log level 
126,ARR|AT&T| Running jobs using databricks sql connector-
127,AWS Please reduce your request rate.
128,guidance about security vulnerability scanning
129,Job processes hangs after a while at an unknown time and does not move forward. 
130,unpinned clusters disappearing after library installation in E2 workspace
131,DBFS_DOWN
132,The run of a repo notebook is taking 8 minutes to process each cell
133,2205180040008873 | Job URL
134,Pip in Delta Live Tables
135,Need help verifying the actions from DataBricks
136,Databricks unexplained errors
137,Notebook submitting unwanted Jobs to cluster
138,RStudio Error
139,Upgrading to DBR 10.4 on PVC brakes DELTA MERGE operation
140,Streaming Exception 
141,Outage May 25
142,"""error: only cluster owner is able to change the secrets"""
143,Exception: Exception: org.apache.spark.SparkException: Job aborted.
144,Core databricks instance down
145,DATABASE_CONNECTION_FAILURE(CLOUD_FAILURE)
146,ARR | 2205270030000850 - slowness in job
147,Delta Lake Change Feed Data error on job restart
148,"Limit increase: ""The quota for the number of jobs has been reached"""
149,Job runs slower than expected. There are no logs to investigate | ARR SR# 2205260040002506 
150,GAR for 2205270030001293 
151,Unable to read java file
152,UI issue
153,[ARR] Recursive view is not supported in databricks cluster runtime version 10.4?
154,CSS-ARR-SR#2205240030000602-Support partial CSV File reading using Copy Into command
155,"spark.conf.set(""spark.default.parallelism"",90) not working in Notebook"
156,[ARR][GrabTaxi][Job Report Storage Performance related]
157,GAR for 2205260030000949 
158,New GEnie 2205190050000485 
159, Connection failed to DataBricks
160,Cannot put file in dbfs mount folder
161,About the specification to output the audit log to S3
162,Unknown user account in workspace
163,Follow-up to 00146362 - concerns regarding cost increase due to increased DBFS usage
164,metadata.HiveException: at least one column must be specified for the table
165,optimize the cost
166, Cluster spin up issue
167,GAR for SR 2205200050001297 
168,Unable to attach notebooks to cluster.  Databricks times out when trying to list available compute.
169,ARR | 2205260040001988 | Workspace folders were deleted in production
170,updating tags fails.
171, Notebook showing function does not exist
172,job failures even after reties
173,java.io.IOException: No space left on device
174,Spark job fails failing in the shuffle stage : FetchFailedException 
175,Need to check why the model training for so long and why it's stuck shown from log4j logs
176,"Not able to find clusters,repos and admin access also removed in hub account"
177,CSS-ARR-S500-SR#2205250030000548-Auto assignment user as admin role
178, RCA for Issue Faced on 05/23/2022 related to VM instance Quota Failure
179,"Azure databricks notebook execution duration is extremely long (40+ minutes), and it exceeds the 10 minute trigger window"
180,[ARR] [Sev B] SR-2205260030001963-Cs_new_fix_issue
181,[ARR] [Sev B] SR- 2205260030000798 Notebook Execution taking more than the usual time
182,Upgrade databricks to 10.4LTS hive metastore causing job failures
183,[ARR] [Sev B] SR-2205250010001325-Few Jobs in PII Prod Databricks workspace are failing continuously with Connection Reset issue
184,Job cluster launch failure due to instance request limit
185,ARR- Databricks cluster not loading dependency consistently- 2205160030002086- followup of 00147763
186,runtime 6.4 support ending by June'22. What is the best way to upgrade with least amount of changes and regression testing? Extension?
187,Ability to specify different VM instance types based by schedule
188,Not able to login from manage account
189,Job failure due to cluster BOOTSTRAP_TIMEOUT
190,Cannot edit broken query in Databricks SQL
191,Java App Fails to Establish TLS handshake
192,Access denied while creating a global init script
193,Loading tables with billions of records
194,2205260040007389 | Job Failure
195,SSM Agent installation on Databricks Prod and Non-prod Worker notes
196,Exception equests.exceptions.HTTPError: 429 Client Error: Too Many Requests for url: https://centralus.azuredatabricks.net/api/2.0/jobs/list
197,Informatica job is failing in Databricks
198,Databricks libraries installation failed due to network unreachable frequently
199,Issues accessing clusters in azure databricks instance
200,Outage issue
201,"Job fails with ""An error occurred while trying to connect to the Java server (127.0.0.1:35291)"""
202,2205260040005420 | Outage
203,ARR | library loading failed | 2205260010001471 
204,TypeError when importing feature store
205,[ARR] cannot see the deletion of clusters in Log Analytics
206,2205260040004092 | Repo
207,2205190050000006 Issues when connecting to SQL server from Databricks
208,unable to connect to AS400 datasource (worked on Single Tenant workspace)
209,Upgrading the Preloaded Databricks Runtime Version of a Databricks Pool
210,GENIE ACCESS REQUEST
211,Databricks MLFLow behaviour appears to have changed
212,Job-cluster is slower than interactive cluster
213, Enabling customer-managed keys for managed services
214,[Arr][Storage Latency]
215,Notebook showing function does not exist
216,Notebook execution failure
217,SQL query ran for 25 hours and normally completes in few seconds.
218,Recovery related issue.
219,ARR | SevA | 2205260040003611 | Backed service unavailable in eastus2 
220,ARR | 2205200030001371 | job intermittently failing with unexpected_exception | JNJ
221,How to connect to aws quicksight from databricks
222,2205200030001371
223,Cluster terminated.Reason:Storage Download Failure
224,DBR PROD -  Cannot broadcast the table that is larger than 8GB: 9 GB
225,Error while migrating database from hive to glue
226,Nodes Lost Communication
227,Job performance
228,ValueError: year 0 is out of range when trying to parse json schema using spark.read.json
229,Kafka streaming tasks are failing continuously without any data transmission
230,Notebook execution failure
231,ARR | 2205160030001741 | AzureADAuthenticator.getTokenCall threw java.net.SocketTimeoutException : Read timed 
232,2205260030000947 GENIE
233,Authentication error while logging to Databricks
234,AuditLog設定時のs3:DeleteObjectは必須権限となるか。
235,ARR s500 | 2205040030001107 | Jobs API issues
236,Data loss with applyInPandas
237,Stream Ingestion cloudfiles failure
238,[ARR] [Sev C] SR-2205250050001827 Quota request for Other Requests
239,How to assess performance of notebook included with %run magic
240,Slowness in query execution.
241,Facing error while running job
242,The job failed with INIT script exception.
243,"Sudden cluster termination with error message ""CLOUD_PROVIDER_SHUTDOWN"" | ARR SR# 2205250030000379"
244,Databricks MLflow bug
245,CSS-ARR-S500-SR#2205250030000489-Long running job
246,Databricks jobs failure with Internal Python error in the inspect module.
247,ARR | 2205250060001495 |  PointsBet | Outage | Unable to start clusters 
248, Databricks Support - SQL Workspace Issue
249,issue using the databricks feature store on an ephemeral run
250,2205110040001203 
