text,x,y
jproperties library installation issue ,8.931051,-1.1545831
Union with Null,10.01113,1.056317
Spark ReadStream fails to infer schema,9.682724,0.33357695
Unable to execute Notebook commands,10.602716,-2.056476
"ARR Customer CVS: Issue - Unable to grant read/list permission to Databricks service principal to KeyVault, Key Not Found",9.470019,3.4250226
Create Delta Table Statements Fail Intermittently,6.7524176,1.171721
Databricks Cluster creation time increased post fail over from west to east ,12.905167,2.2834275
Disable delta feature,6.774435,1.2382116
"Commands getting cancelled, spark mssqlconnector failing",10.288073,-0.3912581
How to export Hive metastore ,12.844111,5.4378357
Metadata perfomance issue,9.827761,1.469643
Continuation of  00143942  | The Databricks job fails frequently - 2204250010002866,11.91929,2.443735
Hitting rate limit of 100 nodes per minute.,10.367171,2.0181682
SQL Analytics Issue,7.860084,0.1940808
Sev A ARR Adobe CSO - Critical Support Ticket - Jobs Failing with no Changes - Sev 1,9.095013,0.6006361
Jobs failing with 'File already exists',11.704867,-0.6495275
CASE NUMBER # 00142833 | 2203310040008004 - CosmosDBSpark failure on large files,9.7093935,2.3572319
Upsert failing against destination table in Unity catalog,11.578645,6.0187325
Databricks Attempts to Create Clusters in AZ's without support for requested nodes.,13.231787,2.3054209
Databricks job ran for hours without any progress,12.626077,3.051931
Facing import issue in job,11.915868,-0.74599373
QA-UAT Users status is inactive,10.563597,3.663004
 Model failing in existing workspace,11.325533,5.255213
Failed Databricks notebooks,12.013233,3.271215
2205310030000660 | ARR | Decimal Data type scale being limited to 2 in SQL Endpoint UI,7.6883254,0.16298026
Root bucket error in log4j,9.630672,1.6823355
gar for 2205160050001134 ,1.813832,5.507653
Databricks environment highly unstable,14.086083,4.2826953
Command stucks when submitted,11.289547,-0.95556545
2205310030000871,-1.0252689,2.2452977
Databricks jobs failed due to AccessDeniedException,11.872113,2.9263365
connect to databricks using the ODBC driver,10.490375,2.9451337
ARR - Not being able to open folder structures from storage,9.255984,2.6464996
Missing tables,7.0416646,0.87126225
databricks-connect with token is deprecated,10.305077,3.5390017
2205250050002151 problem installing libraries on 7.3 LTS,8.967059,-1.1217121
Intermittent metadata connectivity issue,9.062883,3.1822314
File cannot inherit from folder when create table,7.3059874,0.9364318
Not able to connect to ADLS with External HMS,8.025875,3.2430623
Update to 10.4 LTS,10.474814,1.161648
Intermittent Access denied while write to Amazon S3 write encrypted storage ,8.912446,3.3484201
Job is stuck,12.578109,-1.5474858
PowerBi Failing To Connect To Databricks Table and Fetch Data,10.505465,3.2034607
JDBC query connection issue,7.6787763,1.851705
 R Notebook fails sometimes; fails only at specific time every day,10.5143385,-2.016985
MLflow protobuf Python version problem,11.325377,1.704628
クロスアクセスアカウントIAMロールに付与するポリシーに関する質問,3.597536,2.087369
Logs delivery just before application shutdown,10.642592,1.6259627
Not able to Write to Container using Pyspark.write method,9.613731,1.500164
CSS-ARR-S500-SR#2205270040003393-ADLS2 access issue,8.003312,3.214625
2205180030000254 ,-1.2679228,2.5709856
2205300040003430-Notebook getting failed,10.447842,-2.0357854
The execution of this command did not finish successfully,11.266686,-0.9233157
Can we have a chance to know which VM type has which kind of disk's tyoe?,8.330051,2.5913246
On some occasions the count file is having more numbers than the data file,8.102859,2.0872455
job failed to retry,12.543343,-1.9208938
2205300030001614 ,-1.4014462,2.318748
Follow up of 00142853,5.131764,3.4697025
Two runs and one one just took 2 mins and others took 4h,11.943151,-0.84689456
ARR | AirCanada | We need explanation why init script or job dependent libraries are recommended for ModuleNotFound error,10.604303,-0.5606692
unable to perform jdbc connection to synpase using aad authentication- Saved,7.9233913,1.9208746
[ARR] [Sev C] SR-2110140040008211-intermittent access to the databricks,9.869662,2.6936567
ARR Air Canada - Jobs randomly failing with module not found. ,11.348812,-0.8527551
Eventhub Streaming to databricks delta table stopped due to offset mismatched,7.3096743,1.3581994
Connectivity Issue to Synapse - From Databricks using JDBC ,8.071173,2.0187428
The Spark UI link not acccessible,10.102707,-0.50035304
High Concurrency Cluster in Prod did not Terminate for 2 weeks,12.593253,0.74152696
VNET injected workspace is slow,11.292252,4.483912
Intermittent Library Installation Issue,8.888934,-1.2108254
Job stuck in running state,12.567126,-1.5254699
ossuleimtestworkspace-IP access List,9.407885,4.4438653
NFS/EFS Volume Mounting,9.0749855,3.439112
Follow up of (00146728)Databricks - Cluster Upgrade with gdal,12.74265,1.8252215
gar request for 2205200050001297 ,1.7894199,5.5307174
ARR | SevA | 2205300040003430 | Databricks jobs are failing after DBR upgrade in PROD,10.988112,1.0799578
Notebook commands get hung on spark.read; Spark Job gets initiated but commands get stuck indefinitely.,10.216793,-0.8996604
Databricks deployment failure using automation.,12.378561,3.4377134
Databricks views are being recreated with all column names in lowercase.,10.578517,2.3331199
2205260030000884 | ARR | Error sending to Log Analytics from Databricks workspace,11.115146,1.9148667
Recover the deleted notebooks that are not committed from repos,10.38927,-1.8181179
Gapply Collect (executor issues) ,10.873004,0.28089494
2205240040004222 | ARR | Jobs are running slow than the previous runs,12.184523,-0.91399366
監査ログの構成に利用するS3バケットの設定について,3.6051292,2.0781965
UnityCatalogマネージドテーブルに利用するS3の設定について,3.5903473,2.0935335
Follow-up case for - 00144864,6.0154705,3.384275
e-mail notifications when jobs are skipped,10.868549,4.2130814
 Error in SQL statement: SparkException,9.294452,-0.09945255
Error on MetaStore when using uploaded JAR for DB connection with AWS PrivateLink,12.7856,5.029561
[SR: 2205270060000149] Consistency of Delta Lake table when copying data to another location,6.699235,1.6333734
CSS-ARR-S500-SR#2205300030000938-Registering the model using adls gen2 path,7.778771,3.0388186
CSS-ARR-2205300030000871-Need to get the cluster log details for the given databricks workspace,12.249538,1.4603148
Enable dbutils.secrets.get on databricks-prod workspace,10.909437,4.1737585
DBInsight 2205270040003899 ,3.148313,3.8426733
how to execute SQL file (Databricks detla tables quires ) using sql enpoint in commandline (CICD purpose).,8.039494,0.3323504
Pipelines are failing with an error,11.252875,0.28766572
CSS-ARR-2205270010000557-pairwise partial correlation in ML model is taking more than expected time,9.591961,1.5595907
Not able to manage cluster in premium tier with Owner permission.,13.475189,1.5712118
ARR | Citrix | Need help change the cluster owner | SR:2205250060000952,13.017483,1.0708811
Not able to connect to ADLS with External HMS,8.031818,3.207278
A piece of code in one of the notebooks has been behaving erratically,10.392521,-2.1546147
Contact Details for Contingency Plan  Documentation,10.078886,2.2397692
Please help to enable the Unity Catalog for customer,11.629273,6.262729
 Unable to access AzureDatabricks workspace,8.79025,5.245772
Unable to access AzureDatabricks workspace,8.78908,5.2518344
Cluster Terminating,14.011623,0.34731993
Unable to access AzureDatabricks workspace,8.787746,5.241587
Notebook Execution taking to much time. Need performance tuning,10.478412,-2.254291
Job email notification alert not sending to specific email address,10.772544,4.272361
recover deleted azure databricksm,8.653061,4.3267884
Not able to Write to Container using Pyspark.write method,9.596323,1.4994453
[ARR][2205190040006377 ][Procter and Gamble]the spark driver has stopped unexpectedly and is restarting. your notebook will be automatically reattached.,10.25786,-1.300182
7763010224164137 - b8080fe8-25bc-47b2-85e7-fd02dd3aee1e - 2205280040000814,3.2127004,3.8306925
Databricks Merge Statement is creating duplicate rows,10.642852,2.384308
8917076304931352 - 09c14ab4-bb01-40d1-9eaa-c49fefd07fb1 - 2205280040000550,3.1564057,3.8513913
2205280040000232,-2.2723224,1.3136715
Is there any connector available for writing  to dynamodb from databricks pyspark/scala spark ? ,9.728266,0.740983
connection issue with powerbi  ssl read,9.078943,3.0692194
[ARR][Mars Inc][2205170040006218 ]Issue with cluster resizing & autoscaling,12.642878,1.5079747
Azure ADF pipelines are running longer than expected,8.536814,4.045386
2650234915343663 - c450f3d1-583c-495f-b5d3-0b38b99e70c0 - 2205270040006933,2.7386677,3.6889572
Unable to access Jobs API 2.1 - 401 Access Denied,11.251707,-0.4285682
"UI of the ""Tables"" tab is not refreshing when navigate the ""Data"" explorer",8.087135,0.9871438
GE FDL: Production DBR jobs failing,9.125827,0.36543995
ALTER TABLE statement failing with configurationInvalid fs.azure.account.key,8.288947,2.2153828
Update IP access list,9.2003765,4.470563
cannot get debug log level ,10.68574,1.5148274
ARR|AT&T| Running jobs using databricks sql connector-,7.9967365,0.31356072
AWS Please reduce your request rate.,9.004133,3.5687962
guidance about security vulnerability scanning,10.226125,2.5878346
Job processes hangs after a while at an unknown time and does not move forward. ,12.075464,-1.0401312
unpinned clusters disappearing after library installation in E2 workspace,13.502264,0.1770249
DBFS_DOWN,9.7189045,1.8965596
The run of a repo notebook is taking 8 minutes to process each cell,11.219848,1.0301087
2205180040008873 | Job URL,11.435977,-1.1207874
Pip in Delta Live Tables,6.432156,1.1417608
Need help verifying the actions from DataBricks,11.177937,3.0650969
Databricks unexplained errors,12.0385275,3.7238002
Notebook submitting unwanted Jobs to cluster,13.231532,0.08308132
RStudio Error,8.672847,-2.1139927
Upgrading to DBR 10.4 on PVC brakes DELTA MERGE operation,7.282546,1.4954262
Streaming Exception ,17.442736,3.0285077
Outage May 25,10.694878,0.9049858
"""error: only cluster owner is able to change the secrets""",13.412466,1.5823966
Exception: Exception: org.apache.spark.SparkException: Job aborted.,10.19866,-0.49255133
Core databricks instance down,12.001367,3.709069
DATABASE_CONNECTION_FAILURE(CLOUD_FAILURE),13.135228,3.8969636
ARR | 2205270030000850 - slowness in job,12.184112,-0.9810823
Delta Lake Change Feed Data error on job restart,6.680984,1.6299814
"Limit increase: ""The quota for the number of jobs has been reached""",12.060495,-0.7097352
Job runs slower than expected. There are no logs to investigate | ARR SR# 2205260040002506 ,12.118178,-0.9335256
GAR for 2205270030001293 ,1.832696,5.497483
Unable to read java file,9.101375,1.067087
UI issue,10.722738,-0.86527514
[ARR] Recursive view is not supported in databricks cluster runtime version 10.4?,10.799785,2.4117146
CSS-ARR-SR#2205240030000602-Support partial CSV File reading using Copy Into command,8.489991,1.4960014
"spark.conf.set(""spark.default.parallelism"",90) not working in Notebook",9.846582,0.3356305
[ARR][GrabTaxi][Job Report Storage Performance related],9.616788,2.8169358
GAR for 2205260030000949 ,1.8375803,5.4947743
New GEnie 2205190050000485 ,-0.32356995,1.9528608
 Connection failed to DataBricks,10.700834,3.018399
Cannot put file in dbfs mount folder,9.61492,3.581328
About the specification to output the audit log to S3,11.467877,3.766517
Unknown user account in workspace,10.83724,5.204263
Follow-up to 00146362 - concerns regarding cost increase due to increased DBFS usage,9.68579,2.4781218
metadata.HiveException: at least one column must be specified for the table,12.751074,5.246523
optimize the cost,9.7386265,2.1697896
 Cluster spin up issue,14.167806,1.415499
GAR for SR 2205200050001297 ,1.7864636,5.5330086
Unable to attach notebooks to cluster.  Databricks times out when trying to list available compute.,12.693328,1.5714496
ARR | 2205260040001988 | Workspace folders were deleted in production,11.488848,4.629896
updating tags fails.,10.247255,1.0689088
 Notebook showing function does not exist,10.540673,-2.2472827
job failures even after reties,12.837751,-2.0275633
java.io.IOException: No space left on device,8.709015,2.2667277
Spark job fails failing in the shuffle stage : FetchFailedException ,10.289915,-0.51823956
Need to check why the model training for so long and why it's stuck shown from log4j logs,10.92608,1.4406955
"Not able to find clusters,repos and admin access also removed in hub account",13.319674,1.1434122
CSS-ARR-S500-SR#2205250030000548-Auto assignment user as admin role,10.21312,4.5125484
 RCA for Issue Faced on 05/23/2022 related to VM instance Quota Failure,11.834952,0.008145703
"Azure databricks notebook execution duration is extremely long (40+ minutes), and it exceeds the 10 minute trigger window",11.005697,1.0880538
[ARR] [Sev B] SR-2205260030001963-Cs_new_fix_issue,7.415958,2.6020615
[ARR] [Sev B] SR- 2205260030000798 Notebook Execution taking more than the usual time,10.470793,-2.0191922
Upgrade databricks to 10.4LTS hive metastore causing job failures,12.8566675,5.2942696
[ARR] [Sev B] SR-2205250010001325-Few Jobs in PII Prod Databricks workspace are failing continuously with Connection Reset issue,10.914638,3.735818
Job cluster launch failure due to instance request limit,13.3738,-0.5164382
ARR- Databricks cluster not loading dependency consistently- 2205160030002086- followup of 00147763,12.575797,1.7194407
runtime 6.4 support ending by June'22. What is the best way to upgrade with least amount of changes and regression testing? Extension?,10.473154,1.1827079
Ability to specify different VM instance types based by schedule,9.646585,1.5457015
Not able to login from manage account,9.982234,5.047864
Job failure due to cluster BOOTSTRAP_TIMEOUT,14.601626,-0.24589437
Cannot edit broken query in Databricks SQL,7.1608934,0.15389496
Java App Fails to Establish TLS handshake,8.821038,2.3084292
Access denied while creating a global init script,9.244955,-1.5743436
Loading tables with billions of records,7.7135854,1.7309722
2205260040007389 | Job Failure,11.625354,-1.9570941
SSM Agent installation on Databricks Prod and Non-prod Worker notes,9.500835,3.4667418
Exception equests.exceptions.HTTPError: 429 Client Error: Too Many Requests for url: https://centralus.azuredatabricks.net/api/2.0/jobs/list,9.004507,1.8882066
Informatica job is failing in Databricks,12.715918,3.167157
Databricks libraries installation failed due to network unreachable frequently,11.595877,2.443065
Issues accessing clusters in azure databricks instance,8.315889,4.51453
Outage issue,10.674525,0.8752243
"Job fails with ""An error occurred while trying to connect to the Java server (127.0.0.1:35291)""",10.893921,-0.35745052
2205260040005420 | Outage,-0.578723,2.5322504
ARR | library loading failed | 2205260010001471 ,9.019335,-1.2316581
TypeError when importing feature store,9.238416,0.7717056
[ARR] cannot see the deletion of clusters in Log Analytics,12.678036,1.2123566
2205260040004092 | Repo,6.9968367,3.582582
2205190050000006 Issues when connecting to SQL server from Databricks,7.485545,0.055024557
unable to connect to AS400 datasource (worked on Single Tenant workspace),10.95021,4.2550864
Upgrading the Preloaded Databricks Runtime Version of a Databricks Pool,11.540224,2.6165068
GENIE ACCESS REQUEST,-0.25881925,1.9019878
Databricks MLFLow behaviour appears to have changed,11.435812,1.9470221
Job-cluster is slower than interactive cluster,13.152973,-0.4588743
 Enabling customer-managed keys for managed services,9.380854,3.5519252
[Arr][Storage Latency],9.582527,2.8576412
Notebook showing function does not exist,10.525274,-2.2137403
Notebook execution failure,10.497359,-2.268741
SQL query ran for 25 hours and normally completes in few seconds.,7.935614,-0.29212603
Recovery related issue.,10.238317,1.8972026
ARR | SevA | 2205260040003611 | Backed service unavailable in eastus2 ,12.177258,0.4831508
ARR | 2205200030001371 | job intermittently failing with unexpected_exception | JNJ,11.223863,-0.7605374
How to connect to aws quicksight from databricks,9.530348,3.5223894
2205200030001371,-1.500109,2.5366251
Cluster terminated.Reason:Storage Download Failure,13.111319,0.8034541
DBR PROD -  Cannot broadcast the table that is larger than 8GB: 9 GB,8.742557,2.2960727
Error while migrating database from hive to glue,12.827247,5.379185
Nodes Lost Communication,14.203616,0.47526765
Job performance,12.416139,-2.47436
ValueError: year 0 is out of range when trying to parse json schema using spark.read.json,9.305077,0.6304526
Kafka streaming tasks are failing continuously without any data transmission,7.8379617,2.406642
Notebook execution failure,10.490078,-2.2999833
ARR | 2205160030001741 | AzureADAuthenticator.getTokenCall threw java.net.SocketTimeoutException : Read timed ,9.060493,2.009039
2205260030000947 GENIE,-0.30619878,1.9378631
Authentication error while logging to Databricks,10.1682205,3.8058486
AuditLog設定時のs3:DeleteObjectは必須権限となるか。,3.641691,2.070828
ARR s500 | 2205040030001107 | Jobs API issues,11.404075,-0.82429343
Data loss with applyInPandas,8.840892,0.6582116
Stream Ingestion cloudfiles failure,9.562546,2.8173022
[ARR] [Sev C] SR-2205250050001827 Quota request for Other Requests,7.901949,2.6364334
How to assess performance of notebook included with %run magic,10.492478,-2.2011805
Slowness in query execution.,8.041972,-0.042178936
Facing error while running job,12.646012,-1.8765286
The job failed with INIT script exception.,9.316305,-1.6482136
"Sudden cluster termination with error message ""CLOUD_PROVIDER_SHUTDOWN"" | ARR SR# 2205250030000379",13.3530855,0.9868913
Databricks MLflow bug,11.429639,1.9102392
CSS-ARR-S500-SR#2205250030000489-Long running job,11.9732685,-0.889974
Databricks jobs failure with Internal Python error in the inspect module.,11.608089,2.6174636
ARR | 2205250060001495 |  PointsBet | Outage | Unable to start clusters ,12.883574,0.9259872
 Databricks Support - SQL Workspace Issue,10.9973755,4.4515967
issue using the databricks feature store on an ephemeral run,11.166097,2.68103
2205110040001203 ,-0.5284294,2.1433203
"Job gets stuck on “uploading command"" ",11.506897,-0.9063131
cannot start cluster on northcentralus,14.75783,1.1595793
2205250030002550 ,-1.3746395,2.439057
cannot start cluster on   northcentralus,14.753282,1.1776379
2205250040009039 ,-0.7274299,2.4457576
2205250040009237 ,-2.2725604,1.3137094
Databricks Clusters are not starting,13.244278,2.3755715
[ARR][ 2205250030002536][AholdDelhaize]we are unable to see clusters in Prod ADB03 workspace. Getting Backend service unavailable error.,12.301124,0.9673647
 Kafka streaming tasks are failing continuously without any data transmission,7.853523,2.428337
Databricks DBU consumption,10.667949,3.0019872
